Signal,Default MCU,Default Header,FSMC-Safe MCU,FSMC-Safe Header,SDIO-Safe MCU,SDIO-Safe Header
X_STEP,PB6,25,PB6,25,PB6,25
X_DIR,PB7,26,PB7,26,PB7,26
X_ENA,PD0,51,PA4,7,PD0,51
X_ALM,PE0,67,PC10,45,PE0,67
Y_STEP,PB8,27,PB8,27,PB8,27
Y_DIR,PB9,28,PB9,28,PB9,28
Y_ENA,PD1,52,PA15,18,PD1,52
Y_ALM,PE1,68,PC11,46,PE1,68
Z_STEP,PA6,9,PA6,9,PA6,9
Z_DIR,PB14,33,PB14,33,PB14,33
Z_ENA,PD2,53,PC8,43,PD2,53
Z_ALM,PE2,,PC12,47,PE2,
A_STEP,PC6,41,PC6,41,PC6,41
A_DIR,PC7,42,PC7,42,PC7,42
A_ENA,PD3,54,PC9,44,PD3,54
A_ALM,PE3,,PD8,59,PE3,
ESTOP,PE4,,PB2,21,PE4,
PROBE,PG0,,PC8,43,PG0,
